product_id,real_tn,pred_tn,tn_feb
20001,1504.688560,1321.557470,1307.228466
20002,1087.308550,1112.682214,1008.786655
20003,892.501290,822.078704,479.890257
20004,637.900020,532.033707,383.184960
20005,593.244430,454.121724,383.184960
20006,417.232280,394.811988,346.595555
20007,390.434320,314.521217,309.860887
20008,195.368540,398.986388,301.952964
20009,495.035740,530.968310,370.977272
20010,359.599980,333.214494,249.498758
20011,392.382900,314.265335,297.988143
20012,173.130040,284.393564,252.047882
20013,318.091410,340.613980,298.631628
20014,272.028120,354.497107,254.484114
20015,297.276630,323.541187,252.510019
20016,273.202020,252.057853,215.357763
20017,216.907730,233.973370,215.808051
20018,141.635700,219.535838,217.595187
20019,351.547080,269.939033,220.950706
20020,266.063580,235.657182,213.048653
20021,203.767210,215.458485,189.523726
20022,210.834600,217.195079,189.401657
20023,181.132770,232.527922,191.096123
20024,270.450180,175.582036,191.126735
20025,241.834320,194.360054,182.256145
20026,235.104190,221.840181,190.102938
20027,155.258760,204.610840,184.985043
20028,109.926180,168.499217,150.595341
20029,150.648690,155.802317,143.899392
20030,102.757200,114.875849,135.962290
20031,139.915770,160.008796,147.859179
20032,527.798110,551.467411,343.125999
20033,96.762120,157.943453,131.444460
20035,179.979120,136.571791,143.561866
20037,63.372740,103.283896,130.508362
20038,157.684770,133.142898,134.732215
20039,128.403940,123.660129,139.189125
20041,113.113790,126.859156,135.407659
20042,124.200860,148.968913,138.083187
20043,93.772220,130.779505,133.921929
20044,59.617470,135.877981,137.704700
20045,149.899610,130.356235,137.121220
20046,149.956300,134.756800,138.141006
20047,71.497630,145.326792,135.519452
20049,124.848360,155.438934,137.005868
20050,117.027420,120.697325,133.302874
20051,132.460380,112.330998,132.879272
20052,95.510680,110.325330,130.085323
20053,146.365840,126.458408,136.601028
20054,121.209100,121.316407,134.271876
20055,65.857470,99.904002,126.325334
20056,63.718200,102.076704,126.325334
20057,141.367740,104.812843,119.990610
20058,117.829850,100.923560,114.249900
20059,111.511390,107.852703,123.090674
20061,106.448950,110.882403,121.357997
20062,90.976370,89.320903,110.249491
20063,103.523720,111.837806,118.703305
20065,77.985180,112.085027,118.719136
20066,119.281340,109.453343,109.075099
20067,88.495660,97.537011,113.491080
20068,92.927370,101.032588,109.386539
20069,136.639840,108.034060,118.114821
20070,68.443160,102.461464,108.447238
20071,104.770910,106.764661,107.304875
20072,32.268600,90.654091,108.558843
20073,122.470190,98.365311,106.659244
20074,98.075530,75.094895,85.906203
20075,105.429610,101.672752,105.160612
20076,68.459220,89.021205,98.032546
20077,34.588470,81.369771,79.224156
20079,27.684960,63.424822,82.749061
20080,8.844260,94.125419,88.420218
20081,94.258710,81.217619,81.609561
20082,78.870820,65.471068,75.241809
20084,94.682360,112.097927,95.582686
20085,221.564040,145.102750,118.620762
20086,42.519790,62.781014,75.495063
20087,89.630080,67.537246,89.927159
20089,102.336260,131.306039,110.581747
20090,35.977120,61.759004,75.542597
20091,92.243450,89.889776,97.045619
20092,47.452860,70.915669,75.481097
20093,73.284120,69.375907,74.048196
20094,59.129540,85.040969,87.629941
20095,28.528530,73.936077,73.698228
20096,44.246110,67.796760,64.784981
20097,55.290780,64.449517,69.798280
20099,57.827130,64.460753,66.467831
20100,1.379200,78.597591,78.363255
20101,72.800910,68.558070,69.530793
20102,19.177970,57.026505,62.892312
20103,63.996220,70.978493,69.087890
20106,74.512620,67.081166,66.729741
20107,86.056660,73.202523,68.023021
20108,58.347180,64.429204,63.812876
20109,61.843200,53.537044,60.876339
20111,93.888180,65.742127,66.823719
20112,107.062630,74.233195,72.583275
20114,44.160480,65.028941,63.943156
20116,118.602050,93.615187,73.608324
20117,36.032500,48.950840,57.412699
20118,61.151230,63.495082,63.618405
20119,36.268670,70.631029,67.401851
20120,72.210680,66.011557,65.698308
20121,78.966850,82.864065,74.313561
20122,64.622550,63.747916,63.707450
20123,59.148180,63.614235,64.085312
20124,38.108410,58.636318,56.928131
20125,47.559330,65.177622,67.898757
20126,94.952880,78.990730,68.425336
20127,170.327920,132.047295,109.109808
20129,52.923390,57.969558,61.101266
20130,83.307700,92.268858,77.648694
20132,40.091610,62.995589,59.775491
20133,30.835350,63.678370,64.130389
20134,49.983570,62.515697,67.416213
20135,101.031750,75.707333,61.473665
20137,37.551270,52.680749,53.627912
20138,28.334950,43.746980,49.808073
20139,53.488890,59.086854,66.712932
20140,58.149000,64.664306,60.789645
20142,35.894110,47.568408,49.997563
20143,29.927790,87.547520,80.161956
20144,41.306040,52.032302,54.404537
20145,65.412740,60.551830,50.636488
20146,30.472260,56.812508,52.340613
20148,57.163380,60.945109,60.755236
20150,51.351960,77.564981,68.012437
20151,44.811840,47.013612,46.618963
20152,23.926670,41.439961,46.702705
20153,48.788810,50.726706,47.611056
20155,61.251750,48.496321,45.660131
20157,55.776240,47.169511,48.394914
20158,55.025880,63.902022,61.601589
20159,61.783390,73.703114,67.126781
20160,43.188150,42.284900,46.222776
20161,34.922500,52.713755,49.398444
20162,51.436340,55.393357,55.750204
20164,71.334900,54.431915,62.545183
20166,33.525790,39.668408,40.922695
20167,43.851730,45.508677,42.584018
20168,15.155560,29.969972,38.259601
20170,64.410800,73.510858,68.273230
20174,91.117800,82.394296,80.831828
20175,19.708950,41.382802,48.166525
20176,23.876120,36.160038,40.857764
20177,24.516960,36.656238,40.871845
20179,39.701940,38.603329,36.164000
20180,36.956110,35.471426,37.113354
20181,33.362840,34.822429,39.709803
20182,20.879610,37.118567,39.709803
20183,20.475730,30.495075,36.768000
20184,26.132960,35.014292,39.018934
20187,19.990260,34.583786,39.876574
20188,22.888250,33.536110,39.956927
20189,32.594890,37.779542,41.709662
20192,21.453540,35.178140,35.656793
20193,24.927240,36.918795,40.262117
20196,35.180600,35.322236,37.915550
20197,27.909180,34.124877,37.116935
20198,22.408040,33.718101,38.462073
20200,20.878570,31.900664,34.594895
20201,26.166990,31.366170,36.459807
20202,24.481130,32.194498,36.300581
20203,55.209700,38.887083,44.025726
20205,29.131910,33.533709,34.104711
20206,23.434320,31.428472,33.439239
20207,18.516920,26.147554,26.713701
20208,20.142270,29.789017,30.841404
20209,16.081160,30.617131,32.760082
20210,58.782610,68.631027,49.795079
20211,16.109220,26.338621,26.703737
20212,22.494790,33.285318,36.138265
20213,58.840430,83.271108,79.010557
20215,23.140090,28.771231,28.072727
20216,9.202840,21.036454,24.434821
20218,31.369320,34.055555,32.129129
20219,23.106710,23.458579,26.899395
20220,19.464850,24.990561,26.192882
20222,21.013340,19.658268,23.142278
20224,21.269430,33.492780,29.463641
20225,16.662520,21.843153,25.393784
20226,11.328010,21.594348,25.878716
20227,38.712650,51.794130,43.965745
20228,5.038510,18.277151,22.651955
20230,18.179210,20.583835,25.393784
20231,21.315420,22.870781,24.458009
20232,28.282800,41.141528,34.864575
20233,35.595320,22.468602,30.834009
20234,4.847960,11.787203,20.838049
20235,32.135520,44.512219,34.640248
20236,34.703410,73.995129,69.758045
20237,29.516730,39.550878,36.615516
20238,16.616310,23.282806,25.939941
20239,20.102790,19.557729,21.947725
20240,19.519770,17.518228,20.998157
20241,12.815800,21.507839,22.016616
20242,4.036040,19.714370,23.022601
20244,26.461540,21.060489,21.956906
20246,24.609390,19.960107,21.918521
20249,8.000530,15.385708,20.492837
20251,14.796410,22.301804,22.020951
20252,12.205970,20.465086,22.010336
20253,15.268850,20.960736,22.000822
20254,17.468470,21.202461,22.063034
20255,12.158160,19.145427,21.569406
20256,17.634360,20.333336,22.024725
20257,51.771480,52.366316,46.398745
20259,12.432230,18.598502,20.783474
20261,43.745760,69.359894,47.885372
20262,25.639600,25.667679,23.139509
20263,20.855060,20.686743,20.952521
20264,16.582530,20.729330,22.378358
20265,4.578480,8.688256,14.408679
20266,49.557690,32.381157,29.732312
20267,18.017480,21.013647,20.952521
20268,11.992710,19.389916,21.761863
20269,19.130080,20.149094,22.296889
20270,6.778370,21.398080,22.467083
20271,8.349050,15.975647,19.760874
20272,12.664370,18.932671,19.140678
20273,12.463400,17.774359,19.146099
20275,14.939640,20.069253,20.801225
20276,18.626940,18.881472,19.978090
20277,9.612080,18.667124,20.495913
20278,6.274240,13.175894,16.640040
20280,17.024890,17.139488,17.977513
20281,9.810010,17.155986,18.952270
20282,12.824700,18.305545,20.991824
20283,12.823520,16.370844,18.927234
20284,11.797480,18.156450,19.204858
20285,4.332200,14.383117,19.145240
20286,50.559310,35.007460,34.356038
20288,21.121750,16.796514,17.617666
20289,10.010000,18.753027,19.294154
20290,21.565850,20.734823,19.713907
20291,9.752890,17.735483,19.219701
20292,9.805180,18.646076,19.067503
20295,6.048780,18.573189,19.085451
20296,18.646660,17.620850,18.535704
20297,35.089000,25.303202,24.261420
20298,11.285940,18.263891,17.790921
20299,10.611510,19.998808,18.803235
20300,17.147870,17.507059,19.087211
20301,8.313150,17.243373,18.530443
20302,2.356870,5.869683,9.731856
20303,18.387800,18.491944,18.355850
20304,5.885880,13.722110,17.347864
20305,2.566760,5.981104,9.731856
20306,32.270920,24.966560,22.918644
20307,13.525310,17.023774,17.334023
20309,8.112120,18.037158,18.089324
20310,9.749850,18.569819,17.545290
20311,18.167240,18.464884,19.018233
20313,27.158040,19.869338,20.265097
20314,18.852050,16.756671,17.545290
20315,16.644510,15.370290,17.095506
20316,27.234360,27.090869,25.622346
20317,14.823310,16.220007,17.003479
20319,11.811720,14.549161,16.128658
20320,13.480120,15.350944,16.208463
20321,27.627970,27.929181,25.335460
20322,5.578640,12.981844,16.014151
20323,24.407970,28.939594,27.446716
20324,10.957410,16.315886,16.644412
20325,5.267780,9.686932,13.380789
20326,15.648400,15.590222,17.034330
20327,11.900460,15.130504,16.504972
20328,9.333870,17.027332,15.425937
20329,11.053550,14.539899,16.462386
20330,13.795360,15.881965,17.406697
20332,12.968450,13.935487,14.980176
20334,0.186320,20.849767,18.245742
20335,11.781100,15.144545,17.700126
20336,8.610190,16.049476,15.219028
20337,13.824690,18.783735,17.151478
20338,8.137390,15.281836,15.615030
20340,8.068820,20.640732,17.677221
20341,8.461830,13.952992,14.837237
20342,11.977480,16.210270,17.009853
20343,11.960070,15.467308,15.243635
20344,15.990800,17.915819,16.827608
20346,14.963390,13.183261,14.758472
20348,11.726180,18.003037,16.466016
20349,17.463730,13.603550,15.548456
20350,1.239310,4.921606,7.776800
20351,14.081520,20.256652,19.017800
20352,17.350290,15.027300,15.906968
20353,6.635640,15.477442,15.679651
20354,12.295840,14.898303,15.525538
20355,25.633470,34.519062,29.618644
20356,13.824040,14.812066,16.992159
20357,18.325000,13.344903,16.069946
20358,10.920000,11.654422,12.657087
20359,14.166420,13.989188,15.495745
20361,13.573930,17.887645,16.710699
20362,6.617180,11.006070,12.797857
20364,30.711400,24.019772,24.726073
20365,10.903710,13.878021,14.921341
20366,10.347220,11.899212,12.360809
20367,9.550060,12.996546,13.677636
20368,10.410500,19.062254,15.932344
20372,4.663260,11.531793,12.074366
20375,4.385480,11.168370,11.246933
20377,7.245210,14.108614,13.956057
20378,7.681670,22.056861,14.841342
20379,6.453300,10.812339,10.939619
20380,14.642080,12.636697,12.652814
20381,18.211450,13.271783,13.978910
20382,9.309700,11.513721,10.864029
20383,7.434440,10.385661,12.166868
20384,7.211690,10.990311,11.313761
20385,7.472200,10.918000,11.708402
20386,11.225730,12.745877,12.895629
20387,8.587510,14.347533,13.325008
20388,6.650280,11.243473,11.582063
20389,34.544170,22.634861,20.502968
20390,9.270900,11.012260,11.013321
20395,26.656570,18.426086,18.136952
20396,5.938670,11.817595,11.076450
20398,1.047300,3.246080,3.760919
20400,9.744840,11.966641,11.954941
20401,9.164540,10.744391,11.290675
20402,15.107820,13.301579,12.784923
20403,10.953300,13.262203,12.741453
20404,9.257040,9.922373,10.557735
20406,10.276150,13.416083,12.411266
20407,6.634830,9.621388,10.669588
20408,11.776630,17.018218,12.841997
20409,2.409260,7.073853,6.845510
20410,10.145970,9.839763,11.243644
20411,9.125260,9.392041,10.540203
20414,28.508190,29.050884,26.095328
20415,4.859060,8.463993,9.239519
20416,0.858500,3.224170,3.577972
20417,7.388350,11.884957,10.795619
20418,0.526700,2.490925,3.546092
20419,13.595390,9.564190,11.498507
20421,11.958170,10.242736,11.215736
20422,0.926010,2.331232,3.388386
20424,5.420030,8.683947,10.226118
20426,8.053160,7.747929,7.441514
20428,1.656540,2.749704,3.369200
20429,0.994690,2.747381,3.332938
20432,5.462400,9.840370,10.553528
20433,15.752430,11.465281,11.602011
20434,8.259510,9.995912,10.659734
20438,16.278240,10.645614,11.805279
20440,34.280620,26.965298,24.365717
20442,23.790550,23.724168,16.919587
20443,8.002120,8.508754,9.104609
20447,6.655670,8.531756,8.854999
20449,1.088660,2.198296,3.332938
20450,6.242970,11.506940,10.636734
20453,16.327570,9.206135,10.026219
20456,6.103710,8.909349,8.634763
20458,22.484580,22.380217,19.673674
20459,15.426160,17.125018,12.768602
20460,8.948930,16.382146,14.372342
20463,10.214670,10.299270,9.517879
20464,3.553470,7.892427,8.187570
20465,3.541010,8.234716,8.612574
20466,7.270340,9.313542,8.222169
20469,7.435160,10.571753,9.246347
20470,8.273970,8.611866,8.828685
20473,6.612060,8.743737,7.673070
20474,9.653170,8.384726,8.528097
20476,19.733770,19.540779,18.523636
20477,6.012020,11.361438,11.168329
20478,5.354910,6.138331,7.457513
20479,7.924630,10.158363,8.877483
20480,5.217020,7.057474,7.165847
20481,8.742870,8.927257,8.498978
20482,5.686190,7.873606,8.017408
20483,8.522250,7.867076,9.239877
20484,1.565480,7.628005,8.508573
20488,8.624990,10.273017,9.207498
20490,0.486190,1.689569,3.739990
20491,11.942890,13.125773,12.862292
20495,12.650390,13.961366,12.454508
20496,6.490940,8.918768,7.751315
20497,5.545500,7.285603,7.240731
20500,8.615670,8.685750,8.293588
20502,5.837040,7.333900,7.283462
20503,0.839480,14.702861,10.107741
20505,1.419340,8.249314,7.820399
20508,4.024450,5.385301,6.119342
20509,1.103990,1.995983,3.848693
20510,9.077500,13.297121,13.376836
20513,12.774760,7.728711,8.419125
20514,5.772880,6.984533,7.243149
20517,4.013100,5.685001,6.147590
20520,6.988800,8.037075,7.169478
20521,9.544020,15.689629,14.023649
20522,12.646760,12.338493,11.043519
20523,7.631680,13.761280,10.615902
20524,3.376710,7.985411,6.733792
20525,15.941300,16.463560,14.954976
20526,13.657060,18.467809,15.366439
20527,7.740720,12.800692,10.153171
20530,2.707550,7.061236,5.670056
20531,12.409910,14.883252,13.379850
20532,6.388860,5.999416,6.261417
